post_name,address,company,pay,basic_request,JD,label
数据分析师,亦庄,京东物流,30k-60k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1）通过数据处理、分析、建模、预测等工作，协助搭建业务分析体系，包括核心业务指标体系，成本及利润报表体系，专题分析等； 
2）深入理解和整合业务需求，对业务运营及经营核心数据进行诊断分析、并给出定位结果及优化建议； 
3）协同开展策略研究，参与优化项目并评估效果； 
任职要求： 
1）计算机、统计学或相关专业本科及以上学历, 3年以上工作经验，至少3年互联网/电商/物流等相关行业经验，对供应链运营优化有全面了解者优先； 
2）具备良好的数据敏感度与分析技能，熟练运用Excel、SQL等分析工具，掌握Python、Hive、Spark、Flink等大数据技术，了解常用机器学习模型者优先； 
3）逻辑思维严密，工作细致、责任心强，具备较强的学习能力、理解能力，有良好的沟通能力和团队协作能力，有一定的抗压能力； 
4）有策略优化类项目经验者优先；",京东物流-人工智能与大数据部
数据分析师,立水桥,Flash express,15k-30k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责 
1、通过对数据的敏锐洞察以及定性和定量分析，迅速定位内部问题或发现机会； 
2、负责日常数据分析及监控，针对异常情况协调资源进行跟踪和深入分析； 
3、能根据实际业务完成较深入的专项数据分析，并形成数据分析报告； 
4、负责数据分析体系建设和完善，挖掘流量、产品、策略方面的商业变现机会， 
驱动商业化业务发展。 
职位要求： 
1. 本科及以上学历，数学/统计学/经济学/计算机等相关专业优先； 
2. 精通SQL，熟悉python、R、SAS等数据分析工具者优先； 
3、良好的沟通能力、团队合作精神、工作规划能力和主动意识； 
4、良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立领导完整的数据分析项目； 
5、对数字比较敏感，热爱数据分析工作。",高成长
数据分析师,双井,广推科技（北京）有限公司,15k-30k,北京 / 经验不限 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"【岗位职责】 
1.负责业务流程中关键指标的支持性数据的收集、处理、分析及预测； 
2.负责根据业务进展时间节点，维护日、周、月维度的数据报表，完善业务流程中关键指标的监控体系； 
3.负责异常数据的监测，同时多维度分析定位问题，找出问题源头、并给出决策建议、持续推动异常数据的优化； 
4.负责探索并建立业务逻辑中的关键指标，并建立相应的数据模型或者建立相应的指标值； 
5.对完成项目进行数据的收集、整理、存储、归档工作； 
6.响应临时性的数据分析需求、并做出逻辑清晰的分析报告； 
7.完成上级交办的其他工作。 
 
【任职要求】 
1.**本科及以上学历，统计学专业优先； 
2.有一年及以上数据分析相关工作经验； 
3.熟练使用SQL语言对数据进行增删改查； 
4.熟练使用excel表格，熟悉数据处理分析，数据统计分析工具者优先； 
5.逻辑思维紧密，对数据敏感； 
6.踏实沉稳，工作细心，有责任心。 
 
【我们是谁】 
广告，却不只是广告——一直以来，我们都坚持以技术为驱动、专注于互联网整合营销服务领域，业务涵盖PC端、移动端以及海外互联网广告流量营销等，致力于为广告主（京东、苏宁、携程、唯品会、支付宝、华为、小米等）提供优质媒体流量，并帮助媒体（腾讯、UC、新浪、搜狐、网易、今日头条、一点资讯、凤凰网、360、谷歌、bilibili等）进行流量变现。同时，我们居安思危，不断探索第二曲线，开拓唤醒、快应用等新赛道。 
 
【我们的理念】 
以人为本，关注个人成长——我们鼓励员工持续学习、不设边界、有担当、勇于试错、大胆思考，希望每个人都能收获更好、更有价值的自己。 
 
【我们的引力】 
1.薪资：涨幅不设限，只要你值得～ /全年13~20薪 /一年多次薪资review（涨幅可观） 
2.福利：全额五险一金（公积金缴纳比例为12%）/年度体检/带薪病假/开工红包/婚育礼金/节日福利/ 打车报销/人体工程学椅/Macbook Pro+双屏显示器/ 咖啡、零食、饮料、水果无限供应……",发展前景广，团队背景牛
数据分析师,西二旗,百度,25k-50k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责：1、负责百度电商业务整体数据体系搭建，完善数据监控体系，基于监控业务核心数据指标，挖掘业务隐藏问题点，并提出针对性的改善策略建议，指导业务良性发展。2、支撑内容带货和直播的策略输出，监控业务目标达成情况，通过搭建业务模型、策略制定、分析建议、数据反馈等方式，联动产品、运营不断提升业务效率；3、 负责对数据进行处理、分析、建模和预测，对相关数据进行深度挖掘分析，产生有价值的商业洞察，并转换为可执行的业务行为。 
 
任职资格：1、数学、统计学、经济学、计算机等专业者优先，本科及以上学历，2年以上相关工作经验； 2、具备数据敏感性和探知欲、分析、解决问题的能力，逻辑清晰，沟通表达和协调能力强； 3、能够承受工作中的压力，有较好的抗压性；4、踏实勤奋，有较强的工作投入度和自我驱动力，富有团队合作精神；精通办公软件，熟练运用SQL；5、有电商行业直播和内容带货从业经验者优先考虑。",百度未来三年的一个战略重点业务
数据分析师,朝阳门,信永中和,8k-12k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责:


 与大数据团队的数据咨询顾问共事，参与数据分析和咨询项目执行
 独立负责业务数据收集整理，构建经营分析和报表系统，并且结合业务对多种数据源进行深度诊断性组合分析、挖掘、深度分析
 与项目团队配合，与客户进行良好沟通，准确有效地交付数据建模与应用成果

 
岗位要求:

  数据、统计学、经济学等专业背景，本科及以上学历(硕士优先)
 熟悉可视化数据分析工具PowerBI，Tableau等；熟悉数据库基本原理，熟练运用SQL，熟练操作excel；
 熟悉数据挖掘的基本原理，熟练操作Python等数据分析/挖掘工具的优先
 良好的数据敏感度，能从海量数据提炼核心结果，熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，给出建议；
  熟悉各种ERP, WMS, CRM系统优先
 具备良好的沟通能力和团队精神，较强的学习能力，能承担一定的工作压力","环境好,不加班,大公司"
数据分析师,西北旺,北京中关村银行,20k-40k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责: 
1、 承担数据提取、数据分析、数据挖掘等相关工作； 
2、 按时保质地完成数据处理的各项工作任务，确保数据输出质量和进度达到目标要求； 
3、 输出数据分析报告，给出运营建议，进行资产质量监控、模型监控； 
任职资格: 
1、本科及以上学历，金融、经济、会计、数学、统计、计算机等专业； 
2、熟练掌握SQL基本操作，至少熟练使用一种机器学习的工具和框架（R, Python等）； 
3、具有良好的逻辑思维能力和分析能力，能够基于对业务的深入理解，从数据中探查和解决问题，能独立出具分析报告； 
4、具备良好的团队协作和沟通合作能力，对新技术有强烈求知欲； 
5、具备一定金融行业经验 
6、思想作风正派，能够严格遵守银行各项规章制度，服从安排，抗压能力强。",团队有大牛 福利好 有发展空间
数据分析师,朝外,大童保险服务,15k-25k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责： 
1. 负责保险方向数据产品（模型类）的研发、管理和执行跟踪优化工作；应用于保险领域营销、运营、服务或风控场景，目标是通过数据建模应用，实现保费增收、成本控制或降低、风险控制，支持业务、渠道的发展或转型； 
2. 负责保险方向深度分析类需求的研发、管理维护工作；深入理解业务，挖掘业务痛点，在数据中发掘原因、发现解决点，为业务提供合理的应用策略建议； 
3. 负责数据从源数据到大数据平台的整合重构实现工作；搭建以挖掘分析为目的的主题数据层次； 
4. 在领导指示下，负责数据产品发展方向的其它工作。 
 
任职要求: 
1. 本科或以上学历，统计、数学、金融、计算机相关专业，硕士优先； 
2. 1年以上数据挖掘分析建模经验，有在营销、运营、服务或风控领域的相关应用工作经验，或有保险、金融或互联网行业背景更佳； 
3. 精通统计学基础及应用、精通 SQL和Python；精通传统经典机器学习模型，能独立完成清洗样本，特征工程及建模；熟悉深度学习模型；有 NLP 应用经验优先，了解或应用过 BERT 类、Transformer类等经典型的优先考虑；熟悉 Test&Learn 方法论；对市场主流的分布式大数据平台或体系有基本的了解； 
4. 有很强的主观能动性和学习能力，愿意不断地学习新的知识和尝试新的方法，遇到问题能积极主动探索解决方法并敢于提出自己的意见和见解；逻辑思维清晰，具有良好的数据敏感度、分析和判断的能力； 
5. 有较好的交流沟通能力和很强的团队协作精神，有较好的文档能力，能适应有压力的工作环境。",行业头部平台 发展空间大
数据分析师,朝阳区,五八同城信息技术有限公司,13k-18k,北京 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责：
1、 支持各部门日常的数据需求，推进业务的数据化运营，协助制定业务策略。
2、 定期输出月度、周度报告，进行日常监控和趋势分析，并随业务变化调整迭代报表。
3、 结合业务发展现状及潜在问题，开展专项课题研究分析，输出可行性结论及可执行的落地策略，为管理层提供决策支持。
4、 搭建业务分析模型，通过BI产品实现数据分析及可视化，并从多维度进行数据挖掘，产生有价值的业务分析报告。
5、 跨部门沟通，保持数据稳定准确输出。

岗位要求：
1、 对数据敏感，有较强的逻辑思维能力和沟通能力。能快速理解业务，发掘业务细节和数据之间的联系。
2、 3年以上互联网数据分析工作经验。
3、 熟练掌握hive、mysql、tableau等分析工具；熟练掌握excel、ppt的应用。
4、 本科及以上学历。数学，统计学，计算机相关专业优先。",平台大
数据分析师（应届生）,五道口,微财数科,12k-18k,北京 / 经验不限 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责: 
1、 理解互联网信贷贷后业务目标、实现关键路径并给予适当建议； 
2、 对业务核心数据指标有准确理解，通过数据分析及时发现业务问题，提出优化策略； 
3、独立完成业务问题分析，输出逻辑严谨、清晰的分析结论。 
任职要求: 
1、能够进行数据提取，熟悉SQL、Excel等工具, 了解 Tableau、Python 等工具； 
2、熟悉常用业务策略分析方法论，掌握描述性统计方法，了解推断性统计学分析方法； 
3、能够逻辑清晰且结构化地输出分析结论。 
岗位技能要求： 
1、熟悉数据模型和SQL、Excel、Python等工具； 
2、描述性及推断性统计学分析方法； 
3、逻辑清晰且结构化的书面和口头表达能力。",六险一金，近地铁，团队强大
两轮车资深数据分析师(J220719021),海淀区,滴滴,20k-40k,北京 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责 
1. 通过建立统一的分析框架/指标体系，监控核心业务要素和抓手变化，为管理者提供决策支持 
2. 通过数据挖掘和量化分析，帮助业务解难题、指方向。包括外部市场/用户体验/运营策略/成本效率/硬件评估等各个方向，为战略、运营、产品提供深度洞见 
3. 通过实验设计和效果评估，帮助业务科学的验证决策 
岗位要求： 
1. 对数字和商业敏感，具备良好的逻辑分析能力和系统性思维能力，能供宏观设计和思考也能微观的去拆解和分析； 
2. 技术过硬，能将业务问题抽象为技术语言，并通过模型实现落地 
3. 有丰富的互联网经验，视野全面，解题能力强 
4. 工作主动性**。沟通能力强，推动力强，不仅能分析，同时能拿到业务结果 
5. 数学、统计学、计算机、金融、经济等相关专业优先，硕士或以上优先；熟练掌握excel、sql、ppt、tableau，Python或R， 熟练掌握常用统计分析方法； 
6. 大型互联网3年以上工作经验，有电商、出行、O2O等行业分析经验者优先； 
7. 能够带有批判性的去独立思考，能够和团队合作深入的合作、诚实、勤奋、严谨",有态度的产品 专业团队 成长空间
